Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
166,Tópico 5: Sensores de Procesos,"¿Cuál es la función principal de un ""Sensor de Presión Piezorresistivo"" en una cañería de gas?",Aprovechar el cambio de resistencia eléctrica que sufre un material semiconductor cuando es deformado mecánicamente por la presión del fluido.,Generar una fuerza electromotriz directa en milivoltios basada exclusivamente en el efecto termoeléctrico Seebeck.,Interrumpir mecánicamente el flujo de gas activando una compuerta lógica On/Off por contacto seco cuando se corta la energía eléctrica.,Monitorear la conductividad iónica del fluido compresible mediante la inyección de señales analógicas de 0 a 10 VCC.,A,"Los sensores piezorresistivos utilizan galgas extensométricas integradas en un diafragma de silicio o metal. Al actuar la presión, el diafragma se deforma, variando la resistencia eléctrica de forma proporcional para que el transmisor escale la señal."
167,Tópico 5: Sensores de Procesos,"¿Qué limitación técnica posee un sensor óptico del tipo ""Difuso"" en comparación con uno de tipo Barrera?","Es altamente sensible al color, brillo y textura de la superficie del objeto detectado, lo que puede provocar variaciones indeseadas en la distancia de conmutación.",No puede conectarse a canales digitales binarios del PLC debido a que su salida es estrictamente de tipo neumático.,Exige el uso obligatorio de cables de compensación de metales nobles para no destruir los diodos emisores de luz en campo.,Sufre de autocalentamiento por efecto Joule lo que falsea de forma sistemática el perfil de desplazamiento continuo del material.,A,"En el sensor difuso, el haz de luz se refleja en el propio objeto. Si el objeto cambia de color (de blanco a negro) o de brillo, la cantidad de luz que regresa al receptor varía, alterando la confiabilidad de la detección."
168,Tópico 5: Sensores de Procesos,"En el contexto de los sensores analógicos, ¿qué define el concepto de ""Linealidad""?",Es el grado de aproximación con el que la curva real de salida del sensor se ajusta a una línea recta teórica en todo su rango de medición.,Es la capacidad del instrumento para operar sin interrupciones físicas durante un intervalo ininterrumpido de 10 minutos.,El comportamiento de conmutación discreta binaria donde el cero de la escala se asocia de forma obligatoria al cero vivo.,La distancia física máxima en metros de cañería que el haz ultrasónico puede recorrer antes de sufrir aliasing matemático.,A,"Un sensor con excelente linealidad garantiza que incrementos iguales en la variable medida (entrada) producirán incrementos proporcionales iguales en la señal eléctrica generada (salida), facilitando su escalamiento en el PLC."
169,Tópico 5: Sensores de Procesos,"¿Qué tipo de blanco o material es incapaz de activar a un sensor de proximidad magnético del tipo ""Efecto Hall""?",Cualquier objeto que carezca de un campo magnético propio o que no esté magnetizado (como un bloque de plástico o aluminio común).,Un imán permanente de neodimio montado sobre un eje giratorio síncrono que opera a altas revoluciones por minuto.,Una varilla de hierro dulce que deforma las líneas de fuerza gravitacionales en un lazo cerrado de control.,Un conductor eléctrico que transporta una señal de corriente analógica estandarizada de 4 a 20 mA.,A,"Los sensores de Efecto Hall reaccionan directamente ante la densidad de un flujo magnético externo. Si el objeto que se acerca no es un imán o no posee magnetismo, el sensor no registrará cambio de voltaje en su pastilla semiconductora."
170,Tópico 5: Sensores de Procesos,"¿Qué principio constructivo define a un ""Sensor de Nivel de Tipo Capacitivo"" para estanques de líquidos?",El sensor actúa como una placa de un condensador y la pared del estanque (o una varilla de masa) actúa como la otra; el nivel de líquido altera el dieléctrico variando la capacitancia total.,Utiliza una boya flotante mecánica que abre o cierra de forma binaria un contacto seco de potencia aislado en el cabezal.,Mide la caída de tensión hidrostática mediante la inyección continua de corrientes elevadas superiores a 20 mA.,Se basa en la rotación angular de una paleta rotativa que se detiene físicamente cuando es cubierta por sólidos granulados.,A,"Al subir el líquido en el tanque, desplaza al aire entre los electrodos. Como el líquido tiene una constante dieléctrica distinta a la del aire, la capacitancia cambia proporcionalmente a la altura del nivel, permitiendo una medición continua."
171,Tópico 5: Sensores de Procesos,"¿Cuál es la función técnica de un sensor óptico del tipo ""Retroreflectivo"" (Réflex)?",El emisor y el receptor están en el mismo cuerpo y la luz requiere rebotar en un reflector prismático especial; la detección ocurre cuando el objeto bloquea dicho retorno.,Emitir pulsos acústicos de alta frecuencia que rebotan en un espejo de agua para calcular el vaciado rápido en metros.,Modificar la escala absoluta Kelvin de las pantallas SCADA mediante la absorción de haces infrarrojos parásitos.,Funcionar como un interruptor de límite mecánico que detiene físicamente las compuertas de descarga de una tolva de tara.,A,"El sensor réflex optimiza el cableado ya que aloja emisor y receptor en un solo punto, requiriendo un elemento pasivo (catadióptrico o reflector) al otro extremo. Al interrumpirse el haz reflejado, se altera el estado lógico del canal."
172,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente la ""Sensibilidad"" de un sensor analógico industrial?",Es la relación matemática entre el cambio en la señal de salida eléctrica y el cambio correspondiente en la magnitud física de entrada en el proceso.,La inmunidad del dispositivo ante ruidos electromagnéticos severos provocados por los motores de la planta.,El límite de temperatura inferior medido en grados Celsius por debajo del cual el transductor sufre burnout térmico.,El tiempo que le toma al algoritmo del PLC transformar una señal analógica pura en datos digitalizados de bus de campo.,A,"La sensibilidad determina qué tanto responde el sensor ante variaciones de la variable. Una alta sensibilidad significa que pequeñas variaciones de presión, caudal o temperatura generarán cambios detectables en la señal analógica."
173,Tópico 5: Sensores de Procesos,"¿Cómo detecta el caudal un sensor del tipo ""Flujómetro Electromagnético"" según los principios de la automatización?","Utiliza la ley de Faraday, midiendo el voltaje inducido en un fluido conductor que se desplaza a través de un campo magnético generado por las bobinas del sensor.",Cuenta la cantidad de torbellinos y remolinos que se desprenden de forma lineal detrás de un cuerpo rombo fijado en la tubería.,Registra la deformación mecánica de una placa de orificio que reduce el área útil de paso de los fluidos altamente viscosos.,Monitorear los pulsos digitales que genera una hélice o turbina interna suspendida por rodamientos mecánicos de zafiro.,A,El flujómetro electromagnético no obstruye el paso del fluido ni causa caídas de presión. Requiere obligatoriamente que el fluido tenga una conductividad eléctrica mínima para generar el voltaje inducido que mide el instrumento.
174,Tópico 5: Sensores de Procesos,¿Qué ventaja conceptual ofrece un sensor de proximidad ultrasónico frente a un sensor óptico en ambientes con alta presencia de polvo suspendido?,"El ultrasonido utiliza ondas mecánicas sonoras que no se ven afectadas por la opacidad del aire, el polvo o la acumulación de suciedad en la cara del sensor.",El ultrasonido convierte las perturbaciones de la línea en voltajes directos estables de 0 a 10 VCC mediante el efecto Seebeck.,Cancela por completo el fenómeno del autocalentamiento Joule permitiendo calibrar la tara mecánica de la tolva en cero.,Trabaja exclusivamente acoplado a sistemas neumáticos de 3-15 psi eliminando los retrasos de tiempo de la planta.,A,"La luz de los sensores ópticos se dispersa o bloquea ante nubes de polvo o lentes sucios, provocando fallas. Las ondas de sonido de los sensores ultrasónicos atraviesan estas atmósferas sin perder su capacidad de rebotar en el objeto objetivo."
175,Tópico 5: Sensores de Procesos,"¿Qué se entiende conceptualmente por ""Repetibilidad"" de un instrumento de medición industrial?",La capacidad del sensor para entregar lecturas idénticas ante una misma variable de proceso medida repetidas veces bajo las mismas condiciones de operación.,El número de veces que el operador de planta puede modificar manualmente el Set Point del lazo cerrado en un turno.,La velocidad lineal constante a la que un fluido cruza una válvula proporcional abierta al 100 por ciento de su escala.,El escalamiento matemático automático que ejecuta la tarjeta del PLC para suprimir las derivas aleatorias de la red.,A,"La repetibilidad evalúa la consistencia del sensor a corto plazo. Si un sensor mide la misma presión de 10 bar diez veces seguidas y entrega valores dispersos, posee una baja repetibilidad, lo que reduce la confiabilidad del control."
176,Tópico 5: Sensores de Procesos,"¿Cuál es el principio operativo de un ""Sensor de Flujo por Presión Diferencial"" que utiliza una placa de orificio?",Provoca una restricción física en la tubería para generar una caída de presión que es medida por un transductor; dicha diferencia es proporcional al cuadrado del caudal.,Utiliza un haz de luz artificial que mide la turbidez y densidad de las partículas en suspensión dentro del lazo cerrado.,Inyecta corrientes eléctricas oscilantes para alterar la viscosidad cinemática de los hidrocarburos volátiles en campo.,Activa un contacto seco digital binario On/Off cada vez que la velocidad angular del fluido supera los límites del proceso.,A,"Al pasar el fluido por el estrechamiento de la placa de orificio, la velocidad aumenta y la presión estática disminuye (principio de Bernoulli). Midiendo la presión antes y después de la placa se infiere analíticamente el caudal volumétrico."
177,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente la ""Resolución"" de un sensor digitalizado o de un canal de adquisición en un PLC?",Es el cambio más pequeño en la variable medida que el instrumento es capaz de detectar y reflejar en su señal de salida.,El valor máximo absoluto de temperatura medido en Kelvin que soporta la carcasa hermética antes de fracturarse.,La acción correctiva total que aplica una válvula de control proporcional para anular el error del sistema de planta.,La distancia mínima en metros que debe existir entre los lazos de corriente de 4-20 mA y los cables de potencia eléctrica.,A,"La resolución define la finura del instrumento. Si un sensor de nivel tiene una resolución de 1 centímetro, no podrá detectar variaciones milimétricas de la altura del líquido, mostrando escalones en la lectura."
178,Tópico 5: Sensores de Procesos,"En la automatización de almacenes, ¿cuál es la función de un sensor de proximidad ""Capacitivo"" cuando se instala en un silo de grano seco?",Detectar la presencia o ausencia del grano a una altura fija debido a que la masa sólida cambia la constante dieléctrica local del sensor.,Medir el gradiente termoeléctrico Seebeck generado por la fricción molecular del material granulado al caer de la tolva.,Transmitir una señal neumática lineal de 3 a 15 psi que indica el peso de la tara corregido de manera matemática descendente.,Garantizar el enclavamiento de hardware de los motores trifásicos mediante la emisión de ondas acústicas de alta velocidad.,A,"Los sensores capacitivos de proximidad son ideales para controlar niveles máximos o mínimos de sólidos no metálicos (plásticos, granos, madera) en silos o tolvas a través de paredes delgadas o por inserción directa."
179,Tópico 5: Sensores de Procesos,"¿Qué fenómeno físico aprovecha un ""Sensor de Flujo Ultrasónico por Efecto Doppler"" para medir la velocidad de un fluido?",El cambio en la frecuencia de la onda acústica reflejada por partículas o burbujas en movimiento dentro del líquido de proceso.,La fuerza gravitacional neta ejercida sobre los sensores hidrostáticos cuando ocurre una rotura de cañería aguas abajo.,La variación óhmica lineal de una resistencia de platino Pt1000 expuesta a variaciones de flujo volumétrico en planta.,La conmutación discreta binaria provocada por la distorsión geométrica de un haz de luz difuso de alta intensidad.,A,"El flujómetro Doppler exige que el fluido contenga partículas suspendidas o burbujas de gas. Al chocar el ultrasonido con estas partículas en movimiento, la onda regresa al receptor con una frecuencia alterada, lo que permite deducir la velocidad del fluido."
180,Tópico 5: Sensores de Procesos,"¿Qué se entiende formalmente por el rango de ""Span"" en la calibración de un transmisor industrial analógico?",Es la diferencia aritmética entre el valor máximo y el valor mínimo del rango de operación configurado en el instrumento.,El valor constante de 4 miliamperios que representa matemáticamente el punto de consigna o Set Point de la planta.,La distancia máxima en metros que puede recorrer la señal analógica de 0-10 VCC sin sufrir caídas de tensión de línea.,El tiempo total que le toma al software SCADA actualizar la interfaz gráfica compartida ante perturbaciones severas.,A,"El Span es el alcance útil de la calibración ($Span = Valor Superior - Valor Inferior$). Por ejemplo, si un transmisor de presión está calibrado de 2 a 10 bar, su rango es de 2 a 10 bar, y su Span es de exactamente 8 bar."
181,Tópico 5: Sensores de Procesos,"¿Cómo opera conceptualmente un ""Sensor de Presión Absoluta"" y en qué se diferencia constructivamente de uno manométrico?","Posee una cámara de referencia interna sellada bajo condiciones de vacío perfecto, independizando su lectura de las variaciones barométricas ambientales.",Trabaja acoplado a un tubo Bourdon abierto a la atmósfera local que transmite movimientos mediante señales neumáticas de 3-15 psi.,Utiliza hilos de platino puro configurados a 4 conductores para anular de forma matemática la resistencia de las líneas.,Es un dispositivo puramente digital binario On/Off que conmuta sus contactos secos cuando la presión iguala el cero absoluto Kelvin.,A,"El sensor manométrico expone la parte posterior de su diafragma a la atmósfera, midiendo presiones respecto al aire local. El sensor absoluto está sellado al vacío en su interior, lo que le permite medir la presión real verdadera independientemente del clima o la altitud de la planta."
182,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente la ""Deriva Térmica"" (Thermal Drift) en un sensor de presión o peso en campo?","Es la variación no deseada en la señal de salida del sensor provocada exclusivamente por los cambios en la temperatura ambiente de la planta, afectando la precisión.",El movimiento de calor convectivo que funde la soldadura de la unión caliente de un termopar tipo K de metales nobles.,La velocidad a la que el controlador PID modifica la variable manipulada para corregir un error del lazo térmico.,El escalamiento informático descendente que ejecuta el PLC para forzar al transmisor a trabajar en lazo abierto de seguridad.,A,"La deriva térmica es un error común en la instrumentación. Al calentarse o enfriarse los componentes electrónicos y mecánicos del sensor debido al clima o al proceso, su calibración original sufre un pequeño desvío que debe ser minimizado por diseño."
183,Tópico 5: Sensores de Procesos,¿Qué tipo de sensor de flujo se basa en medir la fuerza de torsión o la deflexión provocada por la fuerza de inercia que aparece en un tubo vibratorio por el que circula masa?,El flujómetro másico por efecto de Coriolis.,El flujómetro de turbina con indicación local compartida.,El flujómetro electromagnético accionado bajo la ley de Faraday.,La placa de orificio asociada a celdas piezorresistivas lineales.,A,"Los medidores de Coriolis hacen vibrar un par de tubos de flujo. Al pasar el fluido, la inercia provoca una torsión en los tubos proporcional al caudal másico directo de forma altamente precisa e independiente de la densidad del fluido."
184,Tópico 5: Sensores de Procesos,"¿Qué característica define operacionalmente a un ""Sensor de Proximidad Magnético Reed Switch""?",Es un interruptor digital binario compuesto por dos lengüetas ferromagnéticas selladas que se atraen y cierran el circuito eléctrico ante la presencia de un imán.,Un transductor analógico continuo que genera voltajes lineales de 0 a 10 VCC proporcionales a la agitación molecular local.,Un sensor ultrasónico de alta impedancia que mide el tiempo de vuelo del sonido en líneas de vapor de alta presión.,Un dispositivo de seguridad mecánica que corta de forma directa la alimentación de los motores síncronos mediante señales de 4-20 mA.,A,"El interruptor Reed es un elemento digital muy simple y confiable para detectar posiciones fijas (como el recorrido de un cilindro neumático). Al acercarse un imán montado en el émbolo, las lengüetas se unen, conmutando la entrada del PLC."
185,Tópico 5: Sensores de Procesos,"¿Cuál es la principal ventaja operativa de un sensor de nivel de ""Radar"" frente a uno de tipo Ultrasónico en tanques presurizados con presencia de vapores densos?","El radar emite ondas electromagnéticas que viajan en el vacío y a través de vapores sin verse alteradas por la densidad, presión o temperatura del gas.",El radar genera corrientes directas elevadas superiores a 20 mA que limpian mecánicamente la cara interna del transductor.,El radar opera bajo el principio de retroalimentación mecánica eliminando la lógica de enclavamiento del PLC central.,Utiliza cables de compensación trenzados que transforman la señal analógica en variables discretas de tipo On/Off.,A,"Las ondas ultrasónicas (sonido) requieren un medio elástico (aire) para propagarse y se desvían o atenúan si cambian la temperatura, presión o composición del gas en el tanque. El radar usa microondas, siendo inmune a las variaciones del gas sobre el líquido."
186,Tópico 5: Sensores de Procesos,"¿Qué se entiende por ""Error de Cero"" en la calibración de un transmisor industrial?",Es un desvío constante en el que el instrumento entrega una lectura de salida distinta de cero (o distinta de 4 mA) cuando la variable de proceso está en su límite inferior real.,La desconexión física total del cable conductor que activa instantáneamente el bloque de alarma de falla del SCADA central.,La interferencia electromagnética severa provocada por los transductores de proximidad sobre el algoritmo de control.,El desfase matemático provocado por ajustar la variable manipulada por encima del Set Point fijado en grados Kelvin.,A,"El error de cero (Zero Shift) desplaza la curva de calibración de forma paralela hacia arriba o hacia abajo. Si un tanque está vacío y el transmisor entrega 4.5 mA en lugar de 4.0 mA, existe un error de cero que afectará todas las lecturas del lazo."
187,Tópico 5: Sensores de Procesos,"¿Qué parámetro constructivo define el ""Grado de Protección IP"" (ej. IP67) en la especificación técnica de un sensor industrial?",Define el nivel de estanqueidad y resistencia de la carcasa física del sensor contra el ingreso de objetos sólidos (como polvo) y líquidos (como agua).,Determina la resolución matemática en bits del convertidor analógico a digital integrado en los canales de entrada del PLC.,Establece el rango óptimo de corriente en mA que el lazo cerrado requiere para operar de forma lineal en la planta textil.,Especifica la cantidad de perturbaciones aleatorias que el transductor puede suprimir utilizando la escala absoluta Kelvin.,A,La sigla IP (Ingress Protection) es una norma internacional. El primer dígito indica la protección contra sólidos (0 a 6) y el segundo contra líquidos (0 a 9). Un sensor IP67 es totalmente estanco al polvo y soporta inmersiones temporales en agua.
188,Tópico 5: Sensores de Procesos,"¿Cómo funciona conceptualmente un ""Sensor de Flujo de Turbina"" en un lazo de control de agua industrial?","El fluido impacta las paletas de una hélice interna haciéndola girar; un sensor de proximidad exterior cuenta las RPM de la hélice, siendo la frecuencia directamente proporcional al caudal.",Mide la caída de presión estática generada de forma matemática descendente a través de una placa de orificio calibrada.,Utiliza la ley de Faraday induciendo fuerzas electromotrices en un fluido que posee una conductividad eléctrica mínima.,Monitorea de forma continua las variaciones resistivas que sufre un conductor de platino Pt100 debido a la agitación molecular.,A,El flujómetro de turbina es un medidor de tipo mecánico y velocidad. Su salida suele ser un tren de pulsos de frecuencia variable que ingresa a una tarjeta contadora de alta velocidad del PLC para deducir el caudal volumétrico.
189,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente la ""Estabilidad a largo plazo"" de un sensor industrial montado en una refinería?",La capacidad del instrumento para mantener sus características de calibración y precisión dentro de límites tolerables a lo largo de meses o años de operación continua.,El tiempo medido en segundos que le toma a una válvula proporcional pasar de una apertura del 0 por ciento al 100 por ciento.,La resistencia mecánica de los cables de compensación ante presiones de fluido superiores a los 60 bar.,El comportamiento del algoritmo PID del controlador cuando la variable de proceso iguala de manera exacta el punto de consigna.,A,"Un sensor con excelente estabilidad a largo plazo requiere recalibraciones menos frecuentes, lo que disminuye los costos de mantenimiento preventivo y garantiza la confiabilidad continua del lazo automatizado de control."
190,Tópico 5: Sensores de Procesos,¿Qué tipo de sensor de nivel continuo utiliza el principio de flotabilidad variando el peso aparente de un cilindro pesado suspendido a medida que el líquido asciende?,"Transmisor de nivel por desplazador (Displacer), basado en el principio de Arquímedes.",Interruptor digital binario de flotador mecánico de contacto seco On/Off.,Sensor hidrostático acoplado a celdas piezorresistivas de película delgada.,Sensor ultrasónico que emite ondas mecánicas acústicas de alta frecuencia.,A,"A diferencia de un flotador común que permanece en la superficie, el desplazador está sumergido y es más denso que el líquido. Al subir el nivel, el empuje hacia arriba aumenta disminuyendo el peso soportado por el resorte o sensor de fuerza del transmisor."
191,Tópico 5: Sensores de Procesos,"¿Cuál es la función conceptual de un ""Sensor de Proximidad Óptico de Tipo Polarizado""?","Utiliza filtros ópticos para emitir y recibir luz en planos perpendiculares, detectando con alta fidelidad objetos muy brillantes o reflectivos que confundirían a un sensor difuso común.",Inyectar voltajes alternos senoidales de alta frecuencia en los bornes de compensación de un termopar de metales nobles.,Convertir las variaciones de desplazamiento continuo del vástago en variaciones neumáticas proporcionales de 3 a 15 psi.,Forzar al canal analógico del PLC a operar de forma exclusiva bajo la escala absoluta Kelvin anulando la histéresis de la red.,A,"Los objetos brillantes reflejan la luz sin despolarizarla. Al usar filtros polarizados cruzados, el sensor óptico ignora los reflejos directos provenientes del brillo del objeto y solo reacciona cuando el haz es bloqueado o dispersado de la manera esperada."
192,Tópico 5: Sensores de Procesos,"¿Qué se entiende formalmente por el error de ""No Linealidad"" (Linearity Error) en la hoja de datos de un sensor analógico?",Es la desviación máxima entre la curva real de calibración del instrumento y una línea recta de referencia optimizada expresada en porcentaje del span.,El corte completo de la línea de transmisión eléctrica que interrumpe la corriente de lazo de 4 a 20 mA de la planta.,La incapacidad del transductor para conmutar su estado lógico binario cuando la variable medida se mantiene estática.,El retraso dinámico severo provocado por la viscosidad del fluido que altera de forma sistemática el Set Point del controlador.,A,"El error de no linealidad cuantifica la imperfección de la respuesta del sensor. Si este error es muy alto en un transductor de presión o temperatura, se requiere aplicar polinomios de corrección matemática dentro de la lógica del PLC."
193,Tópico 5: Sensores de Procesos,¿Qué principio constructivo y operativo define a los sensores de flujo térmicos (Mass Flow Meters) utilizados en líneas de gases puros?,Miden la disipación o transferencia de calor que sufre un elemento calentado sumergido en el fluido; la tasa de enfriamiento es proporcional al caudal másico del gas.,Utilizan una hélice de zafiro que genera pulsos digitales de frecuencia variable al ser impulsada mecánicamente por el fluido.,Miden el diferencial de presión hidrostática generado a través de un tubo Bourdon acoplado a un transductor piezorresistivo.,Se basan en la inducción de voltajes bajo la ley de Faraday haciendo que un líquido conductor corte líneas de fuerza magnética.,A,"Los flujómetros térmicos son muy precisos para caudales bajos de gases. Al pasar el gas, absorbe calor del sensor. Midiendo la potencia necesaria para mantener la temperatura o el gradiente térmico entre dos puntos, se deduce directamente la masa de gas que fluye."
194,Tópico 5: Sensores de Procesos,"¿Cuál es la principal característica operativa de un sensor de proximidad industrial con salida eléctrica de tipo ""Namur""?","Es un sensor de dos hilos que varía su consumo interno de corriente ante la presencia del objeto, diseñado para operar en zonas intrínsecamente seguras con riesgo de explosión.",Conmuta de forma directa cargas de potencia eléctrica de alta tensión en corriente alterna sin usar relés auxiliares.,Entrega una señal neumática modulada de 3 a 15 psi proporcional al perfil de desplazamiento continuo del material.,Opera de forma exclusiva en la escala absoluta Kelvin desactivando las alarmas de proceso alto del software SCADA.,A,Los sensores NAMUR trabajan con voltajes y corrientes sumamente bajos (típicamente 8 VCC) y cambian su resistencia interna de manera que consumen menos de 1 mA o más de 2 mA. Requieren un relé o barrera de aislamiento NAMUR externa que interpreta este cambio de corriente segura.
195,Tópico 5: Sensores de Procesos,"En instrumentación de nivel, ¿qué describe conceptualmente la magnitud de ""Zona Muerta"" (Blanking Distance) en un transmisor ultrasónico?",Es la distancia física mínima que debe existir justo debajo de la cara del sensor dentro de la cual el instrumento es incapaz de medir el nivel debido al tiempo de estabilización del pulso acústico.,El porcentaje fijo del rango útil donde el PLC bloquea la apertura de las compuertas de descarga de una tolva de tara.,El estado de falla en campo que congela el último valor medido en la pantalla de la interfaz gráfica centralizada.,El retardo de transmisión analógica provocado por la resistencia óhmica del conductor de cobre en distancias largas.,A,"Cuando un transductor emite un pulso ultrasónico, el cristal piezoeléctrico sigue vibrando un breve instante (anillo). Si el eco regresa durante esa vibración inicial, el sensor no puede distinguirlo. Por ende, el líquido no debe invadir esa zona muerta."
196,Tópico 5: Sensores de Procesos,"¿Qué ventaja conceptual ofrece utilizar un sensor de nivel por ""Presión Hidrostática"" de tipo acoplado a ras (Flush Diaphragm) en tanques de la industria de alimentos?","Evita la acumulación de residuos, bacterias u obstrucciones en cavidades o tubos de impulso, facilitando los procesos de limpieza en sitio.",Elimina el principio de retroalimentación haciendo que la válvula proporcional trabaje de forma exclusiva en lazo abierto.,Transforma de forma mecánica las lecturas en milivoltios Seebeck a variables de tipo digital binario On/Off.,Permite al instrumento resistir presiones hidrostáticas superiores a los 2250 bar sin alterar la calibración de la tara.,A,"Los diafragmas planos a ras de pared impiden que el producto (por ejemplo, jarabe, leche o chocolate) se estanque en cavidades o cuellos de conexión de instrumentos tradicionales, cumpliendo con las estrictas normativas sanitarias de la automatización alimentaria."
197,Tópico 5: Sensores de Procesos,"¿Qué se entiende formalmente por ""Desviación de Span"" (Gain Shift) en la calibración de un transductor analógico industrial?","Es un cambio en la pendiente de la curva de respuesta del instrumento provocado por envejecimiento o temperatura, alterando la escala de salida de manera proporcional.",La desconexión física total del cable de tierra que activa los enclavamientos mecánicos lógicos detrás del tablero principal.,El desfase constante que se inyecta cuando la variable de proceso cae por debajo del límite de calibración de tara.,El límite de corriente fijo de 20 mA que la tarjeta analógica del PLC inyecta para estabilizar la velocidad angular de la planta.,A,"A diferencia del error de cero (que mueve la curva completa en paralelo), la desviación de span altera la inclinación de la línea de respuesta. Esto significa que el error se amplifica a medida que la variable medida se acerca al valor máximo de la escala."
198,Tópico 5: Sensores de Procesos,"¿Cómo opera un sensor de flujo del tipo ""Área Variable"" o Rotámetro en un sistema de visualización de planta?",Consiste en un tubo cónico vertical y un flotador interno que se eleva debido a la fuerza del fluido hasta equilibrar su peso; la altura del flotador indica visualmente el caudal.,Utiliza electrodos sumergidos que miden la conductividad iónica del fluido aplicando los principios de la ley de Faraday.,Cuenta mecánicamente los torbellinos simétricos de Von Kármán que se desprenden de forma lineal detrás de una obstrucción local.,Mide la fuerza de inercia y la torsión angular que sufre una tubería vibratoria acoplada a un transmisor inteligente.,A,"El rotámetro es un medidor de caudal volumétrico muy simple y visual. El equilibrio de fuerzas (gravedad, empuje y arrastre hidrodinámico) determina la posición del flotador en la escala graduada grabada en el propio tubo transparente."
199,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente la especificación técnica de ""Tiempo de Calentamiento"" (Warm-up Time) en un sensor analógico o analizador de gases?",Es el intervalo de tiempo necesario tras energizar el instrumento para que sus componentes internos alcancen la estabilidad térmica y eléctrica requerida para medir con precisión.,El lapso que le toma a una caldera de recuperación elevar la temperatura del aire de proceso de 20 a 80 grados Celsius.,La tasa de autocalentamiento Joule por unidad de tiempo que sufre un filamento de platino Pt100 operando en lazo cerrado.,El tiempo que el operario de planta debe esperar antes de modificar manualmente el punto de consigna en la pantalla SCADA.,A,"Al encender un instrumento industrial (especialmente sensores químicos, ópticos o de presión de alta gama), los circuitos y celdas integradas sufren transitorios térmicos. Las mediciones tomadas durante el tiempo de calentamiento carecen de confiabilidad de diseño."
200,Tópico 5: Sensores de Procesos,¿Qué tipo de sensor de nivel aprovecha las propiedades magnéticas instalando un flotador con imanes internos dentro de un tubo bypass exterior conectado al tanque de proceso?,El indicador de nivel magnético de tipo Flap o regleta de rodillos viradores (Magnetic Level Indicator).,El sensor ultrasónico de tiempo de vuelo que emite pulsos mecánicos acústicos en la escala Kelvin.,La celda de carga de alta resistencia que calcula el peso real de la masa confinada en tanques criogénicos.,Un interruptor lógico Namur de dos hilos diseñado de forma exclusiva para operar bajo condiciones de vacío perfecto.,A,"Al subir o bajar el líquido en el bypass, el imán del flotador arrastra magnéticamente a unos pequeños rodillos o banderas bicolores exteriores, haciéndolas girar de forma visual sin que el operador corra riesgos de fuga del fluido del proceso."
